source,target
868637460,198532943
868637460,703392684
868637460,381872892
868637460,133169256
868637460,282189177
8447862,227907792
8447862,15140223
1259551350,245499504
334544871,737668819
3385825005,245499504
3385825005,325328148
16711026,67727882
16711026,198532943
16711026,381872892
16711026,282189177
2425753818,133169256
15751780,459120920
235140283,737668819
2549809711,245499504
2831595586,737668819
383953014,2235466475
720793136,2323860711
404984350,19754094
872421781,198532943
543844884,166385108
27768160,20408891
407693945,3742259417
2211244149,1671294391
42814345,133169256
42158083,171580937
207323988,13549862
207323988,243724106
207323988,2864978560
53029609,462513751
344754757,462128369
2914347780,3706343775
3338877533,1090128866
3338877533,462128369
3338877533,2616065880
16232264,19754094
1923248718,19754094
1484030394,2826743402
136401228,459120920
354092535,3883927573
33417701,389609128
3340367548,703392684
2561691740,960745897
2667664074,737668819
15444539,737668819
83980276,14308012
300496198,133169256
3937914677,133169256
94583154,462128369
239591418,509083512
239591418,23593496
239591418,25510622
239591418,2874446142
110921023,737668819
879161563,509083512
879161563,2732021382
879161563,179940298
879161563,2593147320
879161563,3706343775
879161563,37113369
1066076850,389609128
1335599142,3243913086
1021792362,243724106
427362546,2826743402
542882615,4143211455
529679809,2887201159
2762583461,389609128
76684509,14308012
3087376102,19754094
237986665,2734361280
113470302,14308012
474143,1396484258
14579415,23888835
14579415,19754094
14579415,2871959037
14579415,32694093
14579415,25510622
14579415,15140223
14579415,14308012
14579415,133169256
243741680,462513751
3399606689,282189177
86177206,344336841
86177206,23593496
86177206,13549862
52537190,23888835
52537190,127374165
2325594750,245499504
17467699,23888835
17467699,19754094
17467699,258093389
17467699,207404407
17467699,2871959037
17467699,462513751
17467699,198532943
17467699,127374165
16718817,1396484258
467066383,14914477
2833236600,25510622
1880620868,737668819
310660918,3029664532
310660918,4143211455
2433374941,19754094
2433374941,459120920
1413584107,737668819
193790024,23888835
226604778,2734361280
378206995,193522549
378206995,2235466475
378206995,381872892
720567793,3314091134
720567793,703392684
720567793,737668819
86007399,12991012
369202057,459120920
431732080,245499504
75983963,1259765539
75983963,459120920
21360154,67727882
21360154,459120920
2279291538,737668819
371591675,462128369
454981972,282189177
87403396,258093389
87403396,179940298
87403396,443443540
87403396,193522549
87403396,61655506
87403396,2235466475
87403396,2887201159
87403396,198532943
87403396,3066025187
87403396,2567118523
87403396,2323860711
87403396,84772025
87403396,1671294391
87403396,727310635
87403396,37113369
87403396,3064605437
87403396,127374165
87403396,160130892
87403396,2864978560
7019062,462128369
83593210,13549862
1219523748,325328148
2536791890,133169256
2894844952,325328148
2235082016,258093389
2235082016,3023218459
2235082016,193522549
2235082016,381872892
2235082016,3233309342
2235082016,3883927573
2902168621,381872892
296320946,3029664532
296320946,381872892
296320946,1396484258
296320946,92670247
268776925,133169256
2771692985,2790224973
923129785,1396484258
493609953,4143211455
493609953,23593496
493609953,13549862
493609953,258093389
493609953,1101751873
493609953,179940298
245642200,459120920
795721914,282189177
2874284116,737668819
3310665956,67727882
3668103437,462128369
357162751,14308012
769912584,703392684
769912584,32694093
769912584,737668819
33920667,23888835
33920667,258093389
33920667,3428266942
33920667,158871860
33920667,323043092
33923443,344336841
33923443,3029664532
33923443,3228008678
33923443,2165080617
33923443,3023218459
33923443,243724106
33923443,1699096916
33923443,2235466475
33923443,2887201159
33923443,198532943
33923443,2567118523
33923443,84772025
33923443,25510622
33923443,3883927573
33923443,737668819
33923443,166385108
33923443,330633276
33923443,12991012
33923443,2864978560
2822970266,3883927573
22146095,14914477
2588171024,61655506
2407582933,459120920
184872574,720516768
184872574,193522549
184872574,2323860711
624556771,193522549
2958309957,84772025
2958309957,737668819
225579230,245499504
3221559533,14308012
104185085,381872892
785812200,20408891
2317149613,1396484258
2317149613,160130892
1947060127,179940298
9813242,25510622
1969630836,720516768
1969630836,243724106
1969630836,179940298
1969630836,37113369
39651447,3023218459
39651447,459120920
39651447,3233309342
39651447,84772025
457081623,325328148
218933008,3314091134
2846737245,364619260
195910545,19754094
1075682198,243724106
35472084,3314091134
242910873,133169256
110866731,20408891
61373007,4143211455
61373007,3742259417
61373007,30336192
61373007,737668819
153492935,2235466475
153492935,459120920
103578045,245499504
18310057,23593496
2560629409,325328148
35726888,737668819
35726888,3706343775
590447366,389609128
257064719,459120920
2407734505,2826743402
3706484893,391350149
1880852461,127374165
167760471,462128369
167760471,323043092
3279900630,737668819
142788841,451436778
22216521,61655506
349588157,720516768
2238381676,462128369
15228169,14914477
223613994,4143211455
223613994,800179322
223613994,2864978560
426338917,737668819
1593295976,720516768
1593295976,245499504
218634414,193522549
218634414,4111224555
218634414,381872892
218634414,323043092
66240539,193522549
66240539,737668819
23300815,459120920
14694724,1396484258
22345896,133169256
2473626463,381872892
310349938,309899650
352595904,127374165
24697858,459120920
130748033,23888835
130748033,193522549
130748033,2593147320
130748033,15140223
130748033,818839490
130748033,737668819
130748033,171580937
130748033,323043092
1254636438,2165080617
3154126637,2874446142
21051656,459120920
1954714663,92670247
60396290,459120920
31258590,67727882
492777247,737668819
307758523,737668819
102137890,737668819
78704561,703392684
288320142,2593147320
35387223,371898274
16196915,14308012
44979041,245499504
575797610,282189177
608335854,462128369
583454531,228009287
145789365,459120920
78000814,459120920
1093744946,737668819
30546880,737668819
256964232,282189177
3193984259,4143211455
1206227149,198532943
563257615,133169256
1030943912,14308012
139525231,462128369
139525231,245499504
3246924024,193522549
3545136273,198532943
271033827,737668819
21539403,198532943
637077952,2323860711
577413091,2871959037
2614573800,389609128
3590410692,14308012
1564219544,459120920
3058968259,737668819
16356322,12991012
14624115,179940298
14559745,19754094
1367853648,245499504
222691723,84772025
222691723,2826743402
222691723,127374165
20013808,133169256
2929011237,737668819
801218796,381872892
779118571,25510622
121491469,23888835
485475104,462128369
485475104,323043092
113201620,13549862
113201620,459120920
113201620,2593147320
36894359,2235466475
104949756,50383752
17881816,265802225
17881816,389609128
17881816,61655506
17881816,92670247
17881816,3706343775
17881816,127374165
17881816,2864978560
21881296,25510622
3223297153,737668819
2350842762,282189177
312641499,2235466475
2732491460,245499504
60376302,14914477
3142633907,3174858823
631126712,245499504
3605276055,2887201159
43138606,133169256
464181002,313993289
448293434,245499504
24357823,67727882
24357823,265802225
24357823,198532943
24357823,459120920
24357823,14308012
1924662650,243724106
729388556,325328148
595742572,462128369
3040066435,19754094
1524083894,13549862
172618171,737668819
367666231,2790224973
367666231,737668819
976801933,471583774
758043740,325328148
18150701,12991012
1069002114,19754094
1069002114,2871959037
595195286,737668819
25371730,282189177
2686353036,67727882
2686353036,258093389
2686353036,389609128
2686353036,703392684
2686353036,737668819
840063229,245499504
122033106,451436778
3189486570,282189177
3063748359,2864978560
1364883962,19754094
35797450,15140223
35797450,133169256
293222471,1225768602
2902167817,193522549
15418861,245499504
2481748818,325328148
567442879,3023218459
2524298460,245499504
15467700,19965948
15467700,25510622
20996507,459120920
15209135,2734361280
15209135,325328148
15209135,166385108
15209135,2864978560
22209201,198532943
22209201,127374165
1288767127,462513751
739968648,737668819
3000773579,2235466475
1911173635,509083512
1911173635,810240614
289273221,3174858823
456838878,737668819
456838878,160130892
3375462580,84772025
18311641,14914477
3161779680,3029664532
319721295,490986566
427778214,381872892
340191245,265802225
3622443732,3314091134
3622443732,389609128
26705006,509083512
26705006,381872892
1681136407,19754094
1681136407,14308012
97486299,193522549
97486299,37113369
14641650,389609128
189173384,462513751
2469393056,258093389
1559295474,1671294391
2430011544,371898274
3418689719,3023218459
1905093672,19754094
306328018,389609128
620469377,608491416
382940600,67727882
86365953,23888835
2389439155,13549862
2389439155,243724106
209070276,19754094
512314817,245499504
432113274,14308012
19503339,462513751
617142874,179940298
617142874,459120920
35326272,198532943
828029911,1259765539
510382195,323043092
4033098269,1101751873
500224720,3706343775
2755101686,462513751
55636561,227907792
293338829,265802225
293338829,282189177
245901589,19754094
245901589,459120920
245901589,127374165
119180127,3029664532
2930218015,245499504
20468205,323043092
47017660,12991012
17590526,133169256
303533435,133169256
14763734,213186635
14763734,25510622
605871805,462128369
1311764881,2790224973
2924116974,462513751
1551566784,127374165
19251173,4143211455
314236415,459120920
310050525,2897242945
743089045,19754094
2388494564,171580937
3094558610,61655506
6176772,3029664532
6176772,509083512
6176772,23593496
6176772,258093389
6176772,1101751873
6176772,3023218459
6176772,443443540
6176772,1090128866
6176772,2990781417
3113411626,228009287
487308755,23888835
487308755,15140223
487308755,818839490
16520708,1090128866
30480494,389609128
99144994,344336841
99144994,3314091134
99144994,243724106
99144994,20408891
99144994,25510622
3060075937,737668819
533212364,737668819
2485499798,737668819
2325351036,2864978560
453503655,127374165
2703556564,25510622
36167622,198532943
40080251,245499504
250416435,243724106
250416435,37113369
250416435,127374165
112874216,2732021382
112874216,243724106
2285613416,245499504
733948897,14308012
560619863,737668819
303967163,84772025
303967163,14308012
804857772,25510622
2739961699,227907792
2739961699,4111224555
157157146,389609128
14320620,282189177
259227873,19754094
54314602,245499504
1602346250,313993289
400151172,19754094
3091389549,19754094
361468994,258093389
361468994,323043092
730068464,1090128866
730068464,3706343775
16264803,381872892
16264803,282189177
372933163,133169256
539053506,245499504
70745737,193522549
70745737,12991012
18802308,245499504
38804737,720516768
38804737,2732021382
38804737,3023218459
38804737,243724106
38804737,459120920
38804737,323043092
169364387,703392684
107189885,462128369
43570256,3029664532
43570256,4143211455
43570256,19754094
43570256,2871959037
43570256,381872892
43570256,364619260
2924528414,2871959037
91728142,309899650
78926478,243724106
860665801,19754094
2614831645,737668819
178879310,282189177
2285686880,245499504
105245496,462513751
3173896889,198532943
3173896889,25510622
15520340,133169256
3023253557,245499504
124117874,381872892
25918755,198532943
2882280078,2864978560
2588824195,15140223
198429146,459120920
2294830248,737668819
727094240,703392684
16753558,282189177
3074172575,309899650
3321616009,3883927573
182752879,462513751
182752879,459120920
4151931434,1396484258
300950425,3742259417
3501171612,737668819
2907965702,265802225
478930404,1090128866
478930404,737668819
478930404,282189177
775135051,67727882
2860875503,1396484258
2860875503,133169256
402111663,818839490
259790447,133169256
259790447,282189177
3171365534,381872892
2830757531,193522549
3138796833,4143211455
544894845,2165080617
1469761489,84772025
505726488,459120920
47956854,459120920
3375391906,737668819
3382,381872892
3382,84772025
3382,133169256
28599820,198532943
268442764,19754094
3244922291,3029664532
200957269,14308012
72672017,2732021382
72672017,179940298
72672017,1225768602
72672017,245499504
48702842,459120920
2226063590,3029664532
14297098,198532943
33345091,23593496
33345091,193522549
2525388902,243724106
300431851,2734361280
14886375,703392684
14886375,381872892
14886375,166385108
76348185,13549862
76348185,2235466475
76348185,459120920
76348185,282189177
2559535657,3883927573
26906501,459120920
188365450,245499504
78360320,14308012
2309156653,2864978560
17804823,4143211455
17804823,2874446142
2456826662,245499504
134513525,19754094
134513525,462128369
134513525,282189177
280678037,2864978560
53416347,459120920
172868012,2567118523
177325161,389609128
151183736,19754094
18087450,462128369
18087450,282189177
233846028,198532943
21252323,3029664532
21252323,258093389
21252323,3023218459
21252323,3064605437
1458272822,67727882
5920402,14914477
29767978,23593496
2344211519,381872892
2344211519,245499504
45336139,243724106
440762178,325328148
2855109957,389609128
94366662,364619260
42646960,19754094
3875458227,3314091134
37332714,462128369
27439619,737668819
2872785969,25510622
300844333,1396484258
2586666680,282189177
1004141089,258093389
2856135466,389609128
2212622015,2789433778
317955911,1259765539
243408789,459120920
198019138,381872892
249554665,371898274
42417984,67727882
42417984,381872892
42417984,459120920
2536151980,1671294391
927826314,198532943
462595271,12991012
39871064,133169256
2957788115,737668819
2864184007,737668819
283674161,19754094
283674161,459120920
2168961860,325328148
45368854,243724106
30160168,19965948
559174604,737668819
369015037,245499504
2981875475,19965948
250233098,25510622
119480392,84772025
18200573,459120920
39253470,389609128
329787461,459120920
329787461,127374165
47336979,4143211455
47336979,13549862
47336979,193522549
47336979,2864978560
76001308,451436778
25478066,737668819
3149593591,258093389
390284285,67727882
972828300,462513751
2452895023,3314091134
390536025,462128369
289394473,133169256
15294784,19754094
2889150788,3314091134
2889150788,2323860711
444240428,3029664532
63568158,179940298
244663587,282189177
2932563749,20408891
268583603,127374165
64420485,198532943
2617487892,3174858823
598498042,462128369
280826651,323043092
176478550,800179322
1116007226,471583774
492833134,193522549
492833134,3706343775
435932802,2267773146
2396930972,737668819
2698474596,3706343775
2950699472,737668819
335453644,451436778
1330136803,14914477
582868865,282189177
2558610013,245738239
568744987,12991012
16132791,509083512
16132791,459120920
65589378,1101751873
65589378,1225768602
65589378,14308012
65589378,12991012
528177366,19754094
528177366,459120920
528177366,127374165
505694805,2826743402
17511029,67727882
17812066,133169256
421523430,389609128
380874010,737668819
3974485209,737668819
9734382,282189177
2222098430,14914477
2454431899,2407302944
5449422,32694093
5449422,133169256
5449422,12991012
3121184169,84772025
154116251,14308012
1530602154,67727882
2929120188,381872892
73392556,245499504
65643345,2826743402
3188262614,509083512
3188262614,1101751873
3188262614,3023218459
3188262614,92670247
3188262614,25510622
3188262614,14308012
3093204869,737668819
2254880931,3883927573
637355850,193522549
369307152,19754094
2396406786,245499504
1629244514,133169256
565501998,19754094
2988166781,67727882
12913712,84772025
48029066,14914477
2168145710,4143211455
27828778,127374165
2471955901,325328148
582089161,3023218459
2312307308,3706343775
2919910279,193522549
49068640,3029664532
49068640,258093389
49068640,1259765539
49068640,92670247
49068640,727310635
49068640,323043092
56254574,133169256
20654194,61655506
102787318,459120920
3429881050,462128369
3283815157,822106488
1725639270,2897242945
2874721531,243724106
3281161514,462128369
1241887428,20408891
94100628,960745897
2778753273,462513751
23135992,14308012
385613127,19754094
547005147,2789433778
2407086486,19754094
224811897,23888835
3507731299,14308012
741631830,459120920
305852846,1225768602
305852846,2267773146
372200888,325328148
1861751263,1225768602
113149421,451436778
7177512,19754094
80145924,193522549
35415477,20408891
35415477,325328148
219667972,179940298
219667972,127374165
15231287,133169256
3081940319,800179322
3015842550,198532943
8654602,19754094
787028509,14914477
1279985592,451436778
1703554242,703392684
1703554242,2990781417
302881437,198532943
302881437,2826743402
302881437,282189177
26050614,198532943
581390362,737668819
39930469,67727882
39930469,13549862
39930469,258093389
39930469,184508635
39930469,381872892
39077431,19754094
39077431,179940298
346750647,19754094
346750647,2871959037
96564060,67727882
96564060,179940298
96564060,389609128
96564060,1090128866
96564060,459120920
17954329,459120920
2841828916,737668819
2612311915,4111224555
2612311915,381872892
621038875,243724106
88316342,282189177
159561203,14308012
1684731247,2790224973
728871750,245499504
461741892,19754094
2846061576,258093389
2846061576,32694093
836496228,14308012
23774837,462128369
1908769656,3706343775
20104539,193522549
20104539,198532943
20104539,2593147320
20104539,171580937
176143558,282189177
3000270741,245499504
74629643,462128369
157011259,19754094
291587088,1396484258
305263775,1259765539
1548423890,245499504
17986973,509083512
17986973,23888835
17986973,19754094
17986973,1101751873
17986973,261658325
17986973,1090128866
17986973,2593147320
17986973,32694093
17986973,3066025187
17986973,14914477
153748648,459120920
156997060,245499504
16074627,258093389
16074627,193522549
16074627,3706343775
2181349634,3314091134
346836110,193522549
3379433954,737668819
1322691,509083512
1322691,3314091134
1322691,207404407
1322691,171580937
234483393,258093389
234483393,2864978560
27329811,133169256
634225425,67727882
634225425,325328148
2584205268,19754094
888986803,4143211455
3066117496,198532943
4163320934,2826743402
2332361184,23888835
92415827,25510622
117694824,459120920
419690315,364619260
53210455,258093389
53210455,179940298
53210455,184508635
53210455,198532943
53210455,213186635
53210455,3233309342
53210455,3706343775
53210455,2864978560
607348411,245499504
388562881,1101751873
2704664223,737668819
25375521,309899650
18539631,4143211455
18539631,3314091134
18539631,608491416
18539631,19754094
18539631,258093389
18539631,3023218459
18539631,1090128866
18539631,313993289
18539631,4042020137
18539631,14914477
18539631,12991012
535015099,737668819
866504532,179940298
14680759,451436778
20787981,2864978560
32242327,737668819
2155351429,245499504
24374097,323043092
96243124,3706343775
18235003,127374165
104626090,166385108
321299775,381872892
70961240,67727882
75327299,1396484258
75327299,133169256
331518687,2323860711
2572844671,381872892
50060624,462513751
80040157,198532943
3723145948,4143211455
281235442,14308012
319240698,282189177
50238695,245499504
2828627929,703392684
420332138,133169256
351906686,3066025187
20192882,2235466475
3906126255,2716245600
3113377745,344336841
535661525,459120920
2269277268,19754094
2269277268,2826743402
229094218,245499504
2936541286,67727882
2933891156,737668819
2777736876,258093389
2777736876,381872892
2777736876,127374165
1931811601,254643462
3080829096,193522549
70464500,389609128
3742136897,737668819
36711363,258093389
4204911862,800179322
22591125,818839490
536177285,67727882
17056262,1396484258
55121922,344336841
55121922,1225768602
55121922,12991012
55121922,323043092
105535846,4111224555
105535846,381872892
105535846,160130892
20770172,14914477
114857580,381872892
1420091785,1090128866
38666510,25510622
225333204,198532943
225333204,282189177
48049131,19754094
182384817,193522549
182384817,61655506
182384817,92670247
182384817,127374165
182384817,2864978560
2761723447,179940298
2761723447,245499504
52699073,451436778
2232038670,127374165
386048918,127374165
123275493,2864978560
387858830,14308012
3289484181,282189177
21091501,462513751
480656024,509083512
114747177,737668819
1536399169,3023218459
1536399169,193522549
2904348391,2826743402
372956376,509083512
86315135,2826743402
2399456486,381872892
210684204,344336841
210684204,389609128
210684204,20408891
210684204,198532943
210684204,245499504
210684204,2826743402
210684204,25510622
210684204,14308012
210684204,737668819
210684204,325328148
210684204,323043092
210684204,127374165
428567107,198532943
428567107,737668819
3322402108,245499504
2378107483,727310635
2616413833,25510622
158498801,67727882
158498801,389609128
2967773556,14308012
452438606,245499504
2429629711,13549862
519837836,1671294391
12144232,344336841
2891072040,389609128
3124027873,12991012
2453789497,818839490
3027175813,282189177
334331683,243724106
270481972,2864978560
196857367,737668819
2327577638,258093389
269851359,3064605437
311075345,462513751
2316798014,84772025
2473597250,265802225
594616066,19754094
22836352,14308012
749405190,245499504
599606014,1699096916
931692174,2616065880
62262345,20408891
3469433415,313993289
2885097877,4143211455
19721592,323043092
27450176,389609128
68503084,198532943
47647095,459120920
354285863,245499504
224417699,67727882
224417699,19754094
224417699,1259765539
259043880,737668819
2438173117,1396484258
3684009017,1101751873
47503235,179940298
47503235,127374165
2754385314,2871959037
799221480,1396484258
184941975,2165080617
1637352720,3174858823
50294938,1090128866
41315728,737668819
14755701,133169256
60261918,703392684
60261918,3883927573
14238762,381872892
2446161085,737668819
2446161085,282189177
113034662,15140223
2511541668,193522549
2182438333,3228008678
2182438333,207404407
2182438333,179940298
2182438333,366811006
2913839297,737668819
2782211491,1230867979
152692514,737668819
992236507,313993289
3140737374,4143211455
3140737374,1090128866
64828599,13549862
64828599,490986566
6454022,133169256
3332491514,737668819
3161530537,389609128
15793787,14914477
18953227,19754094
298810790,243724106
1677356413,2323860711
617302507,14308012
3035837066,258093389
2617739208,179940298
253565404,19754094
331518461,2323860711
25957357,3023218459
198179597,84772025
179510996,19754094
19338443,2826743402
100188103,25510622
100188103,282189177
50812395,462513751
49053003,198532943
2709232916,737668819
2439677630,459120920
356893042,737668819
205957912,2887201159
205957912,2407302944
117477071,462128369
117477071,323043092
420700517,133169256
2332068544,459120920
3044567841,2864978560
942868836,381872892
1589337710,3029664532
1589337710,737668819
520773736,2790224973
95695246,459120920
611010814,1259765539
15400055,381872892
15400055,127374165
15400055,2864978560
1891256138,462513751
107087487,703392684
107087487,381872892
93183948,703392684
471601852,1671294391
488713596,282189177
224539468,2616065880
224539468,323043092
184259806,389609128
184259806,14308012
36032320,166385108
36032320,12991012
36032320,282189177
348655450,459120920
2688930078,67727882
479995193,389609128
177839703,19754094
244160739,19965948
244160739,193522549
24469339,14308012
413483863,2235466475
717444312,25510622
58305317,19754094
16548435,509083512
16548435,23593496
16548435,258093389
16548435,2235466475
16548435,2864978560
340212738,3066025187
340212738,245499504
50815971,14914477
50815971,12991012
3436218215,462128369
19927676,4143211455
19927676,2593147320
19927676,84772025
1009478966,19754094
3606012912,3883927573
3799530736,737668819
3031269959,193522549
41649851,2567118523
368375701,3029664532
180603779,462128369
1621500241,2864978560
1036578944,389609128
1036578944,737668819
78400475,25510622
511043145,509083512
511043145,258093389
511043145,2616065880
15123214,1396484258
3112274487,325328148
19448989,193522549
19448989,2235466475
19448989,3066025187
16680545,1396484258
615745931,2887201159
13473242,23593496
850309915,325328148
274252075,19754094
2810217778,459120920
2826874020,20408891
2826874020,325328148
606661077,19754094
56118454,371898274
10644362,14914477
3168554928,2567118523
219496700,193522549
219496700,737668819
219496700,282189177
361974281,207404407
113369924,462128369
555625224,282189177
183216635,179940298
183216635,459120920
16518900,282189177
84381739,1396484258
29789545,703392684
29789545,381872892
29789545,330633276
33149849,19754094
3407015013,3742259417
2520999920,1090128866
18040878,381872892
18040878,15140223
333495548,245499504
2593563955,2734361280
2593563955,3706343775
2593563955,2864978560
20515090,509083512
20515090,258093389
20515090,737668819
620117266,459120920
826633178,2897242945
27694750,325328148
368456685,2323860711
461301890,2593147320
543809139,2874446142
2884383811,2887201159
2806523524,2826743402
2695565120,207404407
1852635121,364619260
1902426385,2919115324
138363627,207404407
15941955,381872892
3272128868,14308012
30349066,4111224555
805952227,389609128
3406079063,4111224555
3006951868,1671294391
437143250,737668819
921840937,459120920
4280155692,265802225
1064464807,14308012
27655127,14308012
769622064,462128369
878172186,509083512
878172186,459120920
115298144,15140223
22488856,1396484258
41225114,14308012
31270821,4111224555
471875378,3314091134
354582942,3023218459
354582942,381872892
1262277042,2323860711
29874338,23888835
221969181,282189177
81696505,14308012
59006391,14308012
9601322,133169256
104347182,25510622
940467072,2919115324
21328706,462128369
42463470,381872892
17072206,1367730182
17072206,282189177
32896052,344336841
32896052,23593496
32896052,13549862
32896052,1101751873
32896052,3023218459
32896052,243724106
32896052,179940298
32896052,1090128866
32896052,84772025
32896052,737668819
32896052,166385108
32896052,282189177
952728013,1671294391
1252286846,462128369
40833766,371898274
780104972,171580937
3174583148,245499504
182328818,67727882
754556,14308012
248735463,67727882
248735463,25510622
108045600,720516768
108045600,23888835
108045600,127374165
108045600,282189177
23018550,389609128
56443973,133169256
1376314273,1101751873
1376314273,2871959037
1376314273,2826743402
2919687970,462513751
180723657,459120920
3901129992,19754094
14549981,2871959037
453298388,23888835
197549211,20408891
266614821,3064605437
112744382,4143211455
2290186739,364619260
3546092961,179940298
3546092961,127374165
20472834,23888835
20472834,19754094
20472834,459120920
16957613,23888835
16957613,459120920
15445240,14914477
3123631122,2407302944
313332496,282189177
391074032,19754094
3363574034,23593496
1403446957,3883927573
511223459,381872892
2363041117,245499504
3392504277,3231959220
284625209,171580937
742726076,198532943
742726076,737668819
45729854,15140223
594171576,727310635
2434663963,3883927573
337351049,133169256
191449523,133169256
182888418,389609128
17757005,13549862
17757005,381872892
17757005,14914477
17757005,737668819
3605992694,3883927573
146714531,23593496
146714531,2864978560
229492829,381872892
1008087637,133169256
7458942,245499504
27689265,23888835
873780336,2267773146
598839302,737668819
214170363,19754094
561655444,243724106
561655444,4111224555
130829379,4143211455
1250265152,245499504
1250265152,325328148
20022608,822106488
20022608,323043092
1576186298,371898274
3139525801,822106488
3139525801,737668819
358127438,2826743402
572157338,23593496
572157338,13549862
14941706,184508635
14941706,737668819
14941706,2990781417
2544656796,2874446142
171284237,127374165
3301764053,4042020137
3301764053,3243913086
827197729,14308012
2746601201,2267773146
3976944552,3883927573
18761462,245499504
287917073,462128369
2846320312,389609128
1708424396,459120920
36466829,282189177
322017926,133169256
478675270,14308012
20951882,14914477
940808108,23888835
19053307,84772025
98279652,371898274
72280227,2871959037
58559649,4143211455
58559649,258093389
58559649,50081895
58559649,2871959037
58559649,1225768602
58559649,2235466475
58559649,459120920
58559649,14914477
3004115026,245499504
377925880,2887201159
338553704,2919115324
57341314,258093389
57341314,282189177
17208485,245499504
564887075,737668819
564887075,2864978560
84677520,25510622
2826464708,245499504
169103630,67727882
49044100,19754094
49044100,1259765539
49044100,32694093
49044100,245499504
49044100,25510622
49044100,14308012
2678090893,703392684
2678090893,381872892
14205283,133169256
271585326,3029664532
271585326,61655506
63532696,3064605437
16351332,243724106
236535123,67727882
1353232512,727310635
137146530,462128369
1169574008,61655506
1169574008,2323860711
1169574008,2864978560
3116086202,818839490
16888633,459120920
120273774,133169256
2244411044,245499504
20414217,50081895
20414217,20408891
20414217,459120920
20414217,323043092
20414217,282189177
3582802874,14308012
2619030350,133169256
12640502,2616065880
12640502,3066025187
12640502,2826743402
584098040,127374165
27902656,198532943
109390248,245499504
3652296552,737668819
222261420,462128369
618224028,1671294391
250463684,459120920
3091316093,67727882
1697135246,243724106
89017579,23888835
3389928376,1396484258
276027234,2165080617
3297157126,67727882
243021312,198532943
2327297911,608491416
18458170,179940298
18458170,459120920
18458170,127374165
72389498,25510622
532374319,243724106
100387000,2897242945
42245932,198532943
463053348,2826743402
2760047136,23888835
2760047136,67727882
3642917902,213186635
597698575,737668819
2571130970,2864978560
155544257,490986566
2248999052,1699096916
28606045,459120920
407402014,67727882
330490300,19754094
26644478,2567118523
554378917,381872892
284241195,737668819
93499403,459120920
3032214935,133169256
611530014,193522549
611530014,2864978560
358464377,381872892
358464377,282189177
358464377,2864978560
84720947,325328148
1547247097,4143211455
1547247097,84772025
512669769,3314091134
1938663272,459120920
13443342,509083512
24852970,14914477
141352381,3883927573
2356650151,245499504
779205972,2919115324
312276915,459120920
2987671030,67727882
30140222,23888835
2329489511,737668819
343723268,19754094
111317933,19754094
111317933,2871959037
93060789,23888835
93060789,19754094
1656038166,3029664532
199529127,462128369
176463583,19754094
176463583,462128369
2989269584,67727882
240886111,243724106
3159198983,245499504
1010571,133169256
15680614,14308012
2493472075,67727882
619584297,67727882
71418645,14914477
2379700903,703392684
2379700903,381872892
2379700903,282189177
963559638,313993289
2925160535,61655506
61542328,198532943
61542328,282189177
39279821,2826743402
105669501,4143211455
65472230,67727882
737894706,1396484258
25087670,371898274
31792400,459120920
